DATE,BRKA
1990-01,-0.14063400576368862
1990-02,-0.030851777330650997
1990-03,-0.06920415224913487
1990-04,-0.0037174721189593076
1990-05,0.06716417910447753
1990-06,0.0069930069930071595
1990-07,-0.027777777777777696
1990-08,-0.0857142857142852
1990-09,-0.08203124999999944
1990-10,0.012765957446808685
1990-11,0.06638655462184846
1990-12,0.05200945626477534
1991-01,0.10861423220973794
1991-02,0.09121621621621633
1991-03,-0.0061919504643963815
1991-04,0.012461059190030785
1991-05,0.07692307692307647
1991-06,-0.03999999999999964
1991-07,0.014880952380952304
1991-08,0.029325513196481107
1991-09,0.01139601139601121
1991-10,-0.03436619718309836
1991-11,-0.02567094515752631
1991-12,0.0838323353293408
1992-01,-0.02209944751381169
1992-02,-0.014124293785310653
1992-03,0.025787965616045794
1992-04,0.019553072625698355
1992-05,-0.00273972602739711
1992-06,0.013736263736263746
1992-07,0.03252032520325203
1992-08,-0.041994750656167625
1992-09,0.030136986301369684
1992-10,0.007978723404255116
1992-11,0.13192612137203125
1992-12,0.09557109557109579
1993-01,0.029787234042552794
1993-02,0.030991735537189837
1993-03,0.02204408817635282
1993-04,-0.007843137254902224
1993-05,0.18577075098814158
1993-06,0.026666666666666693
1993-07,0.03896103896103893
1993-08,0.09531249999999952
1993-09,-0.048502139800285074
1993-10,0.03448275862068936
1993-11,-2.7148422399037026e-16
1993-12,-0.053623188405796746
1994-01,-0.00765696784073562
1994-02,-0.046296296296296405
1994-03,0.030744336569579145
1994-04,0.010989010989010776
1994-05,-6.245004513516506e-17
1994-06,5.663872149064277e-16
1994-07,0.2173913043478252
1994-08,-0.02551020408163227
1994-09,-0.00785340314136098
1994-10,0.0686015831134555
1994-11,0.0135802469135803
1994-12,-0.006090133982947406
1995-01,0.20588235294117604
1995-02,-0.09451219512195118
1995-03,0.016835016835016713
1995-04,-0.046357615894039285
1995-05,0.050925925925926104
1995-06,0.03303964757709218
1995-07,0.05543710021321979
1995-08,0.030303030303030023
1995-09,0.15294117647058705
1995-10,0.0034013605442174163
1995-11,0.06101694915254258
1995-12,0.025559105431309802
1996-01,-0.006230529595015519
1996-02,0.11285266457680247
1996-03,-0.046478873239436475
1996-04,-0.010339734121122466
1996-05,-0.08955223880596977
1996-06,0.006557377049180879
1996-07,0.006514657980456052
1996-08,0.012944983818770768
1996-09,0.027156549520766737
1996-10,0.00777604976671866
1996-11,0.02469135802469124
1996-12,0.027108433734939902
1997-01,0.020527859237536954
1997-02,0.020114942528735167
1997-03,0.019718309859154612
1997-04,0.049723756906076645
1997-05,0.13157894736842066
1997-06,0.09767441860465118
1997-07,9.8879238130678e-17
1997-08,-0.12076271186440639
1997-09,0.0795180722891567
1997-10,-0.024553571428571223
1997-11,0.036613272311213134
1997-12,0.015452538631346501
1998-01,0.09347826086956523
1998-02,0.10934393638170885
1998-03,0.2043010752688168
1998-04,0.020833333333332742
1998-05,0.03061224489795883
1998-06,0.1075671852899575
1998-07,-0.10471872805057089
1998-08,-0.1370087725554526
1998-09,-0.014876033057850988
1998-10,0.08221476510067095
1998-11,0.052713178294573663
1998-12,0.030927835051546722
1999-01,-0.0714285714285709
1999-02,0.09384615384615388
1999-03,0.004219409282700793
1999-04,0.07002801120448199
1999-05,-0.057591623036648866
1999-06,-0.04305555555555509
1999-07,-0.015892597968068987
1999-08,-0.05316717056264216
1999-09,-0.14330218068535763
1999-10,0.16181818181818133
1999-11,-0.1032863849765254
1999-12,-0.020942408376962873
2000-01,-0.08734402852049925
2000-02,-0.14062499999999994
2000-03,0.3000000000000001
2000-04,0.03671328671328705
2000-05,-0.011804384485665804
2000-06,-0.08191126279863443
2000-07,0.024163568773234362
2000-08,0.047186932849364635
2000-09,0.11611785095320641
2000-10,-0.010869565217391821
2000-11,0.03453689167974926
2000-12,0.07738998482549322
2001-01,-0.0366197183098593
2001-02,0.027777777777778245
2001-03,-0.06899004267425284
2001-04,0.038961038961038745
2001-05,0.010294117647058877
2001-06,0.010189228529839743
2001-07,-0.002881844380403096
2001-08,0.0028901734104053297
2001-09,0.008645533141210323
2001-10,0.01714285714285709
2001-11,-0.01685393258426932
2001-12,0.0799999999999996
2002-01,-0.02248677248677261
2002-02,-0.012178619756427622
2002-03,-0.026027397260273956
2002-04,0.03305203938115364
2002-05,0.015656909462218645
2002-06,-0.10455764075066984
2002-07,0.02245508982035912
2002-08,0.06881405563689622
2002-09,0.012328767123288046
2002-10,0.003924221921515881
2002-11,-0.025475131419328532
2002-12,0.006224066390041594
2003-01,-0.07079037800687275
2003-02,-0.08727810650887584
2003-03,0.03403565640194513
2003-04,0.09427899686520375
2003-05,0.01697342977870118
2003-06,0.021126760563379997
2003-07,-0.006758620689655244
2003-08,0.05228440494375729
2003-09,-0.01022764764104247
2003-10,0.03746666666666614
2003-11,0.07633980208199406
2003-12,0.005970149253731533
2004-01,0.06219584569732904
2004-02,0.05598390881662695
2004-03,-0.012698412698413049
2004-04,0.0009646302250804451
2004-05,-0.04700717421565447
2004-06,-0.0005617977528089555
2004-07,-0.019111860595840587
2004-08,-0.0028653295128938426
2004-09,-0.004022988505747004
2004-10,-0.027697634160414895
2004-11,-0.006528189910978701
2004-12,0.050179211469533774
2005-01,0.022753128555176572
2005-02,0.00333704115684108
2005-03,-0.03547671840354764
2005-04,-0.030459770114942625
2005-05,-0.0029638411381147788
2005-06,-0.0071343638525560886
2005-07,3.7079714299004257e-16
2005-08,-0.004191616766466679
2005-09,-0.013830426939266288
2005-10,0.04756097560975603
2005-11,0.040628637951105835
2005-12,-0.008613938919341564
